family,topic,category,primaryKeyword,pageType,angleSlug,angleLabel,angleType,citySlug,cityLabel,slug,url,title,h1,metaDescription,wordTarget,ctaPrimary,ctaSecondary,status
"ai-jobs","AI Jobs","AI Core","ai jobs","jobs-family","for-students","For Students","audience","delhi","Delhi","ai-jobs-for-students-in-delhi","https://sikhadenge.in/ai-jobs-for-students-in-delhi","AI Jobs For Students in Delhi | Sikhadenge","AI Jobs For Students in Delhi","AI Jobs for students in Delhi. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-jobs","AI Jobs","AI Core","ai jobs","jobs-family","for-students","For Students","audience","mumbai","Mumbai","ai-jobs-for-students-in-mumbai","https://sikhadenge.in/ai-jobs-for-students-in-mumbai","AI Jobs For Students in Mumbai | Sikhadenge","AI Jobs For Students in Mumbai","AI Jobs for students in Mumbai. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-jobs","AI Jobs","AI Core","ai jobs","jobs-family","for-students","For Students","audience","bangalore","Bangalore","ai-jobs-for-students-in-bangalore","https://sikhadenge.in/ai-jobs-for-students-in-bangalore","AI Jobs For Students in Bangalore | Sikhadenge","AI Jobs For Students in Bangalore","AI Jobs for students in Bangalore. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-jobs","AI Jobs","AI Core","ai jobs","jobs-family","for-students","For Students","audience","hyderabad","Hyderabad","ai-jobs-for-students-in-hyderabad","https://sikhadenge.in/ai-jobs-for-students-in-hyderabad","AI Jobs For Students in Hyderabad | Sikhadenge","AI Jobs For Students in Hyderabad","AI Jobs for students in Hyderabad. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-jobs","AI Jobs","AI Core","ai jobs","jobs-family","for-students","For Students","audience","pune","Pune","ai-jobs-for-students-in-pune","https://sikhadenge.in/ai-jobs-for-students-in-pune","AI Jobs For Students in Pune | Sikhadenge","AI Jobs For Students in Pune","AI Jobs for students in Pune. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-jobs","AI Jobs","AI Core","ai jobs","jobs-family","for-students","For Students","audience","chennai","Chennai","ai-jobs-for-students-in-chennai","https://sikhadenge.in/ai-jobs-for-students-in-chennai","AI Jobs For Students in Chennai | Sikhadenge","AI Jobs For Students in Chennai","AI Jobs for students in Chennai. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-jobs","AI Jobs","AI Core","ai jobs","jobs-family","for-students","For Students","audience","kolkata","Kolkata","ai-jobs-for-students-in-kolkata","https://sikhadenge.in/ai-jobs-for-students-in-kolkata","AI Jobs For Students in Kolkata | Sikhadenge","AI Jobs For Students in Kolkata","AI Jobs for students in Kolkata. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-jobs","AI Jobs","AI Core","ai jobs","jobs-family","for-students","For Students","audience","jaipur","Jaipur","ai-jobs-for-students-in-jaipur","https://sikhadenge.in/ai-jobs-for-students-in-jaipur","AI Jobs For Students in Jaipur | Sikhadenge","AI Jobs For Students in Jaipur","AI Jobs for students in Jaipur. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-jobs","AI Jobs","AI Core","ai jobs","jobs-family","for-students","For Students","audience","lucknow","Lucknow","ai-jobs-for-students-in-lucknow","https://sikhadenge.in/ai-jobs-for-students-in-lucknow","AI Jobs For Students in Lucknow | Sikhadenge","AI Jobs For Students in Lucknow","AI Jobs for students in Lucknow. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-jobs","AI Jobs","AI Core","ai jobs","jobs-family","for-students","For Students","audience","kanpur","Kanpur","ai-jobs-for-students-in-kanpur","https://sikhadenge.in/ai-jobs-for-students-in-kanpur","AI Jobs For Students in Kanpur | Sikhadenge","AI Jobs For Students in Kanpur","AI Jobs for students in Kanpur. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
