family,topic,category,primaryKeyword,pageType,angleSlug,angleLabel,angleType,citySlug,cityLabel,slug,url,title,h1,metaDescription,wordTarget,ctaPrimary,ctaSecondary,status
"prompt-engineering","Prompt Engineering","AI Core","prompt engineering","prompt-family","for-students","For Students","audience","delhi","Delhi","prompt-engineering-for-students-in-delhi","https://sikhadenge.in/prompt-engineering-for-students-in-delhi","Prompt Engineering For Students in Delhi | Sikhadenge","Prompt Engineering For Students in Delhi","Prompt Engineering for students in Delhi. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"prompt-engineering","Prompt Engineering","AI Core","prompt engineering","prompt-family","for-students","For Students","audience","mumbai","Mumbai","prompt-engineering-for-students-in-mumbai","https://sikhadenge.in/prompt-engineering-for-students-in-mumbai","Prompt Engineering For Students in Mumbai | Sikhadenge","Prompt Engineering For Students in Mumbai","Prompt Engineering for students in Mumbai. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"prompt-engineering","Prompt Engineering","AI Core","prompt engineering","prompt-family","for-students","For Students","audience","bangalore","Bangalore","prompt-engineering-for-students-in-bangalore","https://sikhadenge.in/prompt-engineering-for-students-in-bangalore","Prompt Engineering For Students in Bangalore | Sikhadenge","Prompt Engineering For Students in Bangalore","Prompt Engineering for students in Bangalore. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"prompt-engineering","Prompt Engineering","AI Core","prompt engineering","prompt-family","for-students","For Students","audience","hyderabad","Hyderabad","prompt-engineering-for-students-in-hyderabad","https://sikhadenge.in/prompt-engineering-for-students-in-hyderabad","Prompt Engineering For Students in Hyderabad | Sikhadenge","Prompt Engineering For Students in Hyderabad","Prompt Engineering for students in Hyderabad. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"prompt-engineering","Prompt Engineering","AI Core","prompt engineering","prompt-family","for-students","For Students","audience","pune","Pune","prompt-engineering-for-students-in-pune","https://sikhadenge.in/prompt-engineering-for-students-in-pune","Prompt Engineering For Students in Pune | Sikhadenge","Prompt Engineering For Students in Pune","Prompt Engineering for students in Pune. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"prompt-engineering","Prompt Engineering","AI Core","prompt engineering","prompt-family","for-students","For Students","audience","chennai","Chennai","prompt-engineering-for-students-in-chennai","https://sikhadenge.in/prompt-engineering-for-students-in-chennai","Prompt Engineering For Students in Chennai | Sikhadenge","Prompt Engineering For Students in Chennai","Prompt Engineering for students in Chennai. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"prompt-engineering","Prompt Engineering","AI Core","prompt engineering","prompt-family","for-students","For Students","audience","kolkata","Kolkata","prompt-engineering-for-students-in-kolkata","https://sikhadenge.in/prompt-engineering-for-students-in-kolkata","Prompt Engineering For Students in Kolkata | Sikhadenge","Prompt Engineering For Students in Kolkata","Prompt Engineering for students in Kolkata. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"prompt-engineering","Prompt Engineering","AI Core","prompt engineering","prompt-family","for-students","For Students","audience","jaipur","Jaipur","prompt-engineering-for-students-in-jaipur","https://sikhadenge.in/prompt-engineering-for-students-in-jaipur","Prompt Engineering For Students in Jaipur | Sikhadenge","Prompt Engineering For Students in Jaipur","Prompt Engineering for students in Jaipur. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"prompt-engineering","Prompt Engineering","AI Core","prompt engineering","prompt-family","for-students","For Students","audience","lucknow","Lucknow","prompt-engineering-for-students-in-lucknow","https://sikhadenge.in/prompt-engineering-for-students-in-lucknow","Prompt Engineering For Students in Lucknow | Sikhadenge","Prompt Engineering For Students in Lucknow","Prompt Engineering for students in Lucknow. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"prompt-engineering","Prompt Engineering","AI Core","prompt engineering","prompt-family","for-students","For Students","audience","kanpur","Kanpur","prompt-engineering-for-students-in-kanpur","https://sikhadenge.in/prompt-engineering-for-students-in-kanpur","Prompt Engineering For Students in Kanpur | Sikhadenge","Prompt Engineering For Students in Kanpur","Prompt Engineering for students in Kanpur. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
