family,topic,category,primaryKeyword,pageType,angleSlug,angleLabel,angleType,citySlug,cityLabel,slug,url,title,h1,metaDescription,wordTarget,ctaPrimary,ctaSecondary,status
"ai-course","AI Course","AI Core","ai course","course-family","for-students","For Students","audience","delhi","Delhi","ai-course-for-students-in-delhi","https://sikhadenge.in/ai-course-for-students-in-delhi","AI Course For Students in Delhi | Sikhadenge","AI Course For Students in Delhi","AI Course for students in Delhi. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-course","AI Course","AI Core","ai course","course-family","for-students","For Students","audience","mumbai","Mumbai","ai-course-for-students-in-mumbai","https://sikhadenge.in/ai-course-for-students-in-mumbai","AI Course For Students in Mumbai | Sikhadenge","AI Course For Students in Mumbai","AI Course for students in Mumbai. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-course","AI Course","AI Core","ai course","course-family","for-students","For Students","audience","bangalore","Bangalore","ai-course-for-students-in-bangalore","https://sikhadenge.in/ai-course-for-students-in-bangalore","AI Course For Students in Bangalore | Sikhadenge","AI Course For Students in Bangalore","AI Course for students in Bangalore. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-course","AI Course","AI Core","ai course","course-family","for-students","For Students","audience","hyderabad","Hyderabad","ai-course-for-students-in-hyderabad","https://sikhadenge.in/ai-course-for-students-in-hyderabad","AI Course For Students in Hyderabad | Sikhadenge","AI Course For Students in Hyderabad","AI Course for students in Hyderabad. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-course","AI Course","AI Core","ai course","course-family","for-students","For Students","audience","pune","Pune","ai-course-for-students-in-pune","https://sikhadenge.in/ai-course-for-students-in-pune","AI Course For Students in Pune | Sikhadenge","AI Course For Students in Pune","AI Course for students in Pune. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-course","AI Course","AI Core","ai course","course-family","for-students","For Students","audience","chennai","Chennai","ai-course-for-students-in-chennai","https://sikhadenge.in/ai-course-for-students-in-chennai","AI Course For Students in Chennai | Sikhadenge","AI Course For Students in Chennai","AI Course for students in Chennai. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-course","AI Course","AI Core","ai course","course-family","for-students","For Students","audience","kolkata","Kolkata","ai-course-for-students-in-kolkata","https://sikhadenge.in/ai-course-for-students-in-kolkata","AI Course For Students in Kolkata | Sikhadenge","AI Course For Students in Kolkata","AI Course for students in Kolkata. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-course","AI Course","AI Core","ai course","course-family","for-students","For Students","audience","jaipur","Jaipur","ai-course-for-students-in-jaipur","https://sikhadenge.in/ai-course-for-students-in-jaipur","AI Course For Students in Jaipur | Sikhadenge","AI Course For Students in Jaipur","AI Course for students in Jaipur. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-course","AI Course","AI Core","ai course","course-family","for-students","For Students","audience","lucknow","Lucknow","ai-course-for-students-in-lucknow","https://sikhadenge.in/ai-course-for-students-in-lucknow","AI Course For Students in Lucknow | Sikhadenge","AI Course For Students in Lucknow","AI Course for students in Lucknow. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-course","AI Course","AI Core","ai course","course-family","for-students","For Students","audience","kanpur","Kanpur","ai-course-for-students-in-kanpur","https://sikhadenge.in/ai-course-for-students-in-kanpur","AI Course For Students in Kanpur | Sikhadenge","AI Course For Students in Kanpur","AI Course for students in Kanpur. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
