family,topic,category,primaryKeyword,pageType,angleSlug,angleLabel,angleType,citySlug,cityLabel,slug,url,title,h1,metaDescription,wordTarget,ctaPrimary,ctaSecondary,status
"ai-skills","AI Skills","AI Core","ai skills","skill-family","for-students","For Students","audience","delhi","Delhi","ai-skills-for-students-in-delhi","https://sikhadenge.in/ai-skills-for-students-in-delhi","AI Skills For Students in Delhi | Sikhadenge","AI Skills For Students in Delhi","AI Skills for students in Delhi. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-skills","AI Skills","AI Core","ai skills","skill-family","for-students","For Students","audience","mumbai","Mumbai","ai-skills-for-students-in-mumbai","https://sikhadenge.in/ai-skills-for-students-in-mumbai","AI Skills For Students in Mumbai | Sikhadenge","AI Skills For Students in Mumbai","AI Skills for students in Mumbai. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-skills","AI Skills","AI Core","ai skills","skill-family","for-students","For Students","audience","bangalore","Bangalore","ai-skills-for-students-in-bangalore","https://sikhadenge.in/ai-skills-for-students-in-bangalore","AI Skills For Students in Bangalore | Sikhadenge","AI Skills For Students in Bangalore","AI Skills for students in Bangalore. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-skills","AI Skills","AI Core","ai skills","skill-family","for-students","For Students","audience","hyderabad","Hyderabad","ai-skills-for-students-in-hyderabad","https://sikhadenge.in/ai-skills-for-students-in-hyderabad","AI Skills For Students in Hyderabad | Sikhadenge","AI Skills For Students in Hyderabad","AI Skills for students in Hyderabad. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-skills","AI Skills","AI Core","ai skills","skill-family","for-students","For Students","audience","pune","Pune","ai-skills-for-students-in-pune","https://sikhadenge.in/ai-skills-for-students-in-pune","AI Skills For Students in Pune | Sikhadenge","AI Skills For Students in Pune","AI Skills for students in Pune. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-skills","AI Skills","AI Core","ai skills","skill-family","for-students","For Students","audience","chennai","Chennai","ai-skills-for-students-in-chennai","https://sikhadenge.in/ai-skills-for-students-in-chennai","AI Skills For Students in Chennai | Sikhadenge","AI Skills For Students in Chennai","AI Skills for students in Chennai. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-skills","AI Skills","AI Core","ai skills","skill-family","for-students","For Students","audience","kolkata","Kolkata","ai-skills-for-students-in-kolkata","https://sikhadenge.in/ai-skills-for-students-in-kolkata","AI Skills For Students in Kolkata | Sikhadenge","AI Skills For Students in Kolkata","AI Skills for students in Kolkata. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-skills","AI Skills","AI Core","ai skills","skill-family","for-students","For Students","audience","jaipur","Jaipur","ai-skills-for-students-in-jaipur","https://sikhadenge.in/ai-skills-for-students-in-jaipur","AI Skills For Students in Jaipur | Sikhadenge","AI Skills For Students in Jaipur","AI Skills for students in Jaipur. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-skills","AI Skills","AI Core","ai skills","skill-family","for-students","For Students","audience","lucknow","Lucknow","ai-skills-for-students-in-lucknow","https://sikhadenge.in/ai-skills-for-students-in-lucknow","AI Skills For Students in Lucknow | Sikhadenge","AI Skills For Students in Lucknow","AI Skills for students in Lucknow. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-skills","AI Skills","AI Core","ai skills","skill-family","for-students","For Students","audience","kanpur","Kanpur","ai-skills-for-students-in-kanpur","https://sikhadenge.in/ai-skills-for-students-in-kanpur","AI Skills For Students in Kanpur | Sikhadenge","AI Skills For Students in Kanpur","AI Skills for students in Kanpur. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-skills","AI Skills","AI Core","ai skills","skill-family","for-students","For Students","audience","ahmedabad","Ahmedabad","ai-skills-for-students-in-ahmedabad","https://sikhadenge.in/ai-skills-for-students-in-ahmedabad","AI Skills For Students in Ahmedabad | Sikhadenge","AI Skills For Students in Ahmedabad","AI Skills for students in Ahmedabad. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-skills","AI Skills","AI Core","ai skills","skill-family","for-students","For Students","audience","surat","Surat","ai-skills-for-students-in-surat","https://sikhadenge.in/ai-skills-for-students-in-surat","AI Skills For Students in Surat | Sikhadenge","AI Skills For Students in Surat","AI Skills for students in Surat. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-skills","AI Skills","AI Core","ai skills","skill-family","for-students","For Students","audience","indore","Indore","ai-skills-for-students-in-indore","https://sikhadenge.in/ai-skills-for-students-in-indore","AI Skills For Students in Indore | Sikhadenge","AI Skills For Students in Indore","AI Skills for students in Indore. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
"ai-skills","AI Skills","AI Core","ai skills","skill-family","for-students","For Students","audience","bhopal","Bhopal","ai-skills-for-students-in-bhopal","https://sikhadenge.in/ai-skills-for-students-in-bhopal","AI Skills For Students in Bhopal | Sikhadenge","AI Skills For Students in Bhopal","AI Skills for students in Bhopal. Learn practical skills, roadmap, tools, career direction, earning opportunities, and structured guidance with Sikhadenge.","1200","Join Free Masterclass","Explore AI Learning Path","planned"
